target	config	proto	req_per_sec	transfer	lat_avg	lat_p99	non2xx	cpu_pct	mem_mb
nginx	base	http1.1	1768.38	92.46MB	54.77ms	130.98ms	0	206.0	21.9
nginx	base	http2	1931.77	100.88MB/s	386.06ms	NA	0	124.3	26.3
veil_glibc	base	http1.1	960.69	50.11MB	101.22ms	189.04ms	0	101.8	25.5
veil_glibc	base	http2	923.98	48.55MB/s	616.46ms	NA	0	68.6	42.4
veil_glibc	kernel_lb	http1.1	1649.85	86.06MB	59.39ms	151.85ms	0	190.3	29.5
veil_glibc	kernel_lb	http2	166.41	33.72MB/s	357.97ms	NA	0	31.6	48.4
veil_glibc	no_http2	http1.1	951.26	49.62MB	102.62ms	191.46ms	0	102.9	25.2
veil_glibc	no_ktls_ofc	http1.1	1664.46	86.81MB	56.80ms	90.22ms	0	102.0	33.9
veil_glibc	no_ktls_ofc	http2	1530.44	79.72MB/s	463.43ms	NA	0	67.5	47.8
veil_glibc	no_ktls	http1.1	1305.23	68.08MB	74.81ms	163.10ms	0	101.8	31.9
veil_glibc	no_ktls	http2	1568.97	81.73MB/s	471.26ms	NA	0	67.5	46.1
veil_glibc	ofc	http1.1	1132.25	59.05MB	85.80ms	106.24ms	0	101.3	26.4
veil_glibc	ofc	http2	937.12	49.07MB/s	638.42ms	NA	0	66.9	44.4
veil_musl	base	http1.1	931.59	48.59MB	102.57ms	193.26ms	0	101.2	24.7
veil_musl	base	http2	941.48	49.34MB/s	780.80ms	NA	0	66.1	43.2
veil_musl	kernel_lb	http1.1	1641.80	85.65MB	59.51ms	154.31ms	0	193.7	30.6
veil_musl	kernel_lb	http2	168.66	34.73MB/s	356.20ms	NA	0	23.8	54.4
veil_musl	no_http2	http1.1	947.05	49.40MB	102.64ms	194.26ms	0	102.7	26.6
veil_musl	no_ktls_ofc	http1.1	1675.30	87.38MB	57.75ms	85.76ms	0	102.1	42.8
veil_musl	no_ktls_ofc	http2	1448.56	75.46MB/s	493.52ms	NA	0	67.6	58.3
veil_musl	no_ktls	http1.1	1270.46	66.27MB	75.81ms	169.91ms	0	102.8	43.4
veil_musl	no_ktls	http2	1467.22	76.43MB/s	479.73ms	NA	0	58.5	57.0
veil_musl	ofc	http1.1	1138.85	59.40MB	85.24ms	108.89ms	0	101.6	36.6
veil_musl	ofc	http2	914.59	47.94MB/s	632.21ms	NA	0	67.6	54.8
